id,text,token_count
2023_tv_152,"LIV Golf signs a multi-year deal with The CW to broadcast and stream its events beginning with the 14-tournament 2023 season (the first event being the LIV Golf Mayakoba tournament at the El Camaleón Mayakoba Golf Course in Solidaridad, Quintana Roo from February 24 to 26). The deal is the golf organization's first U.S. broadcast deal—its inaugural year in 2022 was available only through YouTube—and the CW's entry into live sports telecasts. This deal was criticized by the National Press Club as an attempt by Saudi Arabia's monarchy (which finances LIV through a sovereign wealth fund) to sportwash its unflattering reputation after their alleged involvement in the October 2018 assassination of journalist Jamal Khashoggi. As CW stations are only contractually obligated to air the network's prime time schedule, 14 affiliates (eight owned by CBS, five owned by Tegna, and Weigel-owned WCIU/Chicago) declined to air the LIV telecasts; CW majority owner Nexstar leased airtime on other stations in those markets.",256
2023_tv_177,"Warner Bros. Discovery files a breach of contract lawsuit with the New York Supreme Court, accusing Paramount Global of violating a 2019 agreement that gave HBO Max rights to stream the first 23 seasons of South Park as well as three subsequent seasons that had yet to air at the time on Paramount-owned Comedy Central. The suit alleges Paramount diverted most of the animated series' post-2019 episodes to Paramount+ under a separate $900-million deal between ViacomCBS Domestic Media Networks (now Paramount Media Networks) and series creators Trey Parker and Matt Stone reached in August 2021, despite WBD holding streaming exclusivity over the series under their $596.7-million (or $1.7 million per episode) deal, and only produced 14 of the 30 additional episodes promised to fill out the WBD–Paramount contract. Paramount countersued WBD on April 19, alleging the contract did not define a specified episode commitment for future seasons or required it to license made-for-streaming South Park movies to HBO Max. WBD and Paramount both claim they are owed $52 million in unpaid license fees.",253
2023_tv_84,"Charter Communications announces it will begin offering a reduced-cost tier of its Spectrum TV Select cable package that will exclude regional and many national sports networks featured in its standard basic tier (including its own Spectrum Sports channels in areas where Charter also operates an RSN). The Spectrum Select Signature tier—which will gradually launch across most of its footprint beginning in late Summer, alongside the renamed Spectrum Select Plus expanded tier—will be marketed primarily to non-sports fans, and is intended to limit cord-cutting among existing subscribers. The company also plans to launch a subscription streaming service for its Spectrum Sports channels, which will be available at no extra charge to Select Plus subscribers. Concurrently, Charter announces a new carriage agreement with DirecTV for Spectrum SportsNet and SportsNet LA, which lowers the required coverage rates for the two Los Angeles-based networks under terms similar to recent deals that saw the company reduce coverage mandates for owned or third-party regional sports networks carried on its systems (RSNs usually require carriage by at least 80% of a provider's regional subscribers); Charter intends to impose similar provisions for its Spectrum Sports RSNs in future negotiations with other providers, enabling them to reduce programming costs subsidized by their customers.",252
2023_tv_89,"Four days after its release, CMT removes the music video for Jason Aldean’s single ""Try That in a Small Town"" from its rotation, amid controversy over the song's lyrics and the video's themes. The scrutiny pertained to the lyrics being interpreted by some listeners as evocative of vigilantism, lynchings and sundown towns (the former interpretation also drawing criticism as Aldean performed at the Route 91 Harvest music festival during the October 2017 Las Vegas mass shooting); the Maury County Courthouse in Columbia, Tennessee, where the video was filmed, being the site of several incidents of racial violence (including a 1927 lynching and the city's 1946 race riots); and the juxtaposition of the lyrics and excerpts of news footage from the 2020 race riots (including lootings and violent clashes between protesters and officers) interspersed in the video. Aldean responded to the criticism on Twitter, asserting the song was meant to represent “the feeling of a community that I had growing up, where we took care of our neighbors, regardless of differences of background or belief.""",252
2023_tv_67,"Chuck Todd announces that he will stepping down as moderator of Meet the Press after nine years. Todd's tenure as moderator, which would end on September 10, saw the NBC program launch into other ventures (including the NBC News Now extension show Meet The Press Now, which Welker co-hosts and had originally debuted on MSNBC in 2015 as MTP Daily, weekly podcasts and a documentary film festival), and Todd himself facing criticism from some viewers and media critics for not pushing back against false statements made by guests (particularly those made by former president Donald Trump, his administration's officials, and his archconservative supporters in political leadership). Todd will be succeeded as MTP moderator on September 17 by NBC News White House correspondent Kristen Welker, who will move from the co-anchor chair at Saturday Today to become the political talk show's first female moderator (since co-creator Martha Rountree's 1947–53 tenure as its original host), as well as the first person of color to regularly serve as the program's moderator (Welker is of mixed Black–Caucasian heritage).",249
2023_tv_88,"The New York Supreme Court rules in favor of DirecTV in a breach of contract lawsuit filed by the company in November 2021 against Nexstar Media Group, involving a 2015 carriage renewal agreement for WDVM/Hagerstown, Maryland (then-NBC affiliate WHAG). The suit alleged that Nexstar did not give DirecTV adequate notice that the station would become an independent once its affiliation contract with NBC expired in July 2016, resulting in the satellite provider overpaying to carry a station that would no longer be a Big Four affiliate. (As part of an effort at the time to reduce affiliate duplication in certain markets, NBC parent Comcast elected to disaffiliate from WHAG—a decision that was disclosed publicly by Nexstar in February 2016—due to perceived competition with nearby O&O WRC/Washington, D.C.) The court ruled that Nexstar overcharged DirecTV by basing its carriage fee rate for WDVM on its prior NBC affiliation, and ordered the broadcaster to repay “several million dollars” worth of excess fees that DirecTV paid during the contract term (plus interest).",242
2023_tv_66,"One week after failing to make a rights payment before the end of its fee grace period, Diamond Sports Group informs the San Diego Padres that it will no longer provide financing to Bally Sports San Diego that would enable the regional sports network to continue paying fees to the team. The Padres' local television rights consequently reverted to the team and Major League Baseball following that evening's game against Miami (the first of a three-game away series), marking the first instance since Diamond's March 14 bankruptcy filing that it returned the local MLB broadcast rights to a franchise. The league took over production of the Padres' regional telecasts starting with the May 31 Padres–Marlins game, and began carrying them on alternate channels on Cox, Spectrum, U-verse, DirecTV and Fubo within the team's home market, along with, for the first time ever, a blackout-free, direct-to-consumer option via MLB.tv. Game announcers Don Orsillo, Mark Grant and Bob Scanlan will remain on the broadcasts as they are directly employed by the Padres.",240
2023_tv_7,"Diamond Sports Group files for Chapter 11 bankruptcy protection with the U.S. Bankruptcy Court for the Southern District of Texas. The operator of the Bally Sports group of regional sports networks, which carry local broadcasts for nearly half of the teams in the NBA, NHL and MLB (42 teams in total across 19 channels), had been struggling to reduce around $8 billion in debt acquired through its 2019 purchase of the former Fox Sports Networks from The Walt Disney Company. Diamond's financial health, which was impacted by cord-cutting as well as carriage disputes earlier in the decade that significantly reduced Bally Sports' vMVPD distribution, became an issue after announcements that it had missed a $140 million payment to its lenders in February, and a scheduled rights payment to MLB's Arizona Diamondbacks on March 10. Diamond will separate from majority parent Sinclair Broadcast Group as part of the reorganization, and plans to continue to produce and air games. Diamond president Steve Rosenberg subsequently stepped down on March 20, succeeded by CFO David DeVoe.",235
2023_tv_148,"The 80th Golden Globe Awards air on NBC and stream on Peacock from The Beverly Hilton in Beverly Hills, with Jerrod Carmichael hosting. It follows a one-year absence from the network after NBC declined to air the previous year's ceremony in support of boycotts by various media companies, actors, and other creative individuals in the entertainment industry over the Hollywood Foreign Press Association's lack of action to increase the diversity of the organization's board membership. Among television awards, Abbott Elementary was the top winner with three awards each (""Best Television Series – Musical or Comedy"", ""Best Actress in a Television Series – Musical or Comedy"" for Quinta Brunson, and ""Best Supporting Actor in a Television Series – Musical-Comedy or Drama"" for Tyler James Williams), tying with top film winner The Banshees of Inisherin (which won for ""Best Motion Picture – Musical or Comedy"", ""Best Screenplay"", and ""Best Actor – Motion Picture Musical or Comedy"" for Colin Farrell) for the most wins overall among the ceremony's awards.",235
2023_tv_36,"Concluding an expansion that began on April 1 (when it replaced overnight drama series and infomercials with repeats of its evening talk and analysis shows), NewsNation permanently switches to a 24-hour all-news schedule on weekdays: the Nexstar-owned network debuts a four-hour rolling afternoon news block, NewsNation Now (replacing crime dramas in that slot), and an hour-long political news show, The Hill (a broadcast extension of the co-owned publication, replacing an hour of NewsNation Rush Hour). The expansion coincides with the unveiling of a new studio at its New York bureau in the Daily News Building (where co-operated CW affiliate WPIX also christened a separate studio on that date). Syndicated scripted series acquired before the former WGN America began its gradual format shift from entertainment to news in February 2021 (such as Blue Bloods and Last Man Standing) and time-brokered programs will continue to air on weekends outside of prime time until late 2024, when NewsNation plans to switch to all-news programming full-time.",232
2023_tv_42,"Just shy of a year after announcing his departure, James Corden hosts The Late Late Show for the 1,193rd and final time. Will Ferrell and Harry Styles are the guests on the finale, which also featured a pre-recorded farewell message from President Joe Biden and a dream sequence sketch that included appearances by fellow current and former late night hosts Stephen Colbert, Jimmy Fallon, Jimmy Kimmel, Seth Meyers, David Letterman and Trevor Noah. The last episode of Corden's 81⁄2-year run as host—which was preceded earlier that night by the show's final prime time Carpool Karaoke special—also served as the series finale of the CBS late night talk franchise, which debuted in January 1995 with Tom Snyder as its original host. After airing reruns of The Late Late Show for the remainder of spring and summer, the timeslot was filled by reruns of Comics Unleashed starting in September until mid-January of the next year.",229
2023_tv_50,"The NHL's Vegas Golden Knights sign a multi-year agreement with the E. W. Scripps Company's Scripps Sports division to air their regionally-televised games on Ion O&O KMCC/Laughlin–Las Vegas (which will become an independent station). The deal, effective with the 2023–24 season, replaces AT&T SportsNet Rocky Mountain as the Knights' television partner and expands the team's local relationship with Scripps (KMCC sister station KTNV has carried the Knights' preseason and ABC-televised regular season games since the team's inaugural 2017–18 season, concurrent with its AT&T SportsNet contract). Scripps will syndicate the Knights telecasts to stations across the team's broadcast territory, including the company's stations in Boise, Salt Lake City and Montana. The Knights are the first major-league team to cut ties with AT&T SportsNet since its parent, Warner Bros. Discovery, announced its intent to exit the RSN business.",229
2023_tv_74,"The Vegas Golden Knights defeat the Florida Panthers, 9–3, in Game 5 of the 2023 Stanley Cup Finals to win their first championship in franchise history; the Golden Knights, which began play in the NHL six years prior, defeated the Panthers in four of five games in the best-of-seven series. TNT, TBS and TruTV simulcasted this year's Stanley Cup Finals, per the alternating rotation under the NHL's contracts with ESPN Inc. and Warner Bros. Discovery Sports. It marked both the first time that the three networks carried the championship series and the first time since 1994 (when it was carried nationally by ESPN and regionally by New York City-based MSG) that the Finals aired exclusively on cable in the U.S. This year's Stanley Cup playoffs began on April 17, and was televised on ABC, ESPN, ESPN2, TBS and TNT, with each franchise's regional broadcaster also televising local coverage of First Round games (except for weekend games that ABC televised nationally).",229
2023_tv_76,"The NBA's Utah Jazz signs a multi-year agreement with Sinclair Broadcast Group to broadcast their regionally televised games and other team-specific programs on the company's Salt Lake City duopoly of KUTV (CBS) and KJZZ (independent), effective with the league's 2023–24 season; the stations replace Warner Bros. Discovery-owned AT&T SportsNet Rocky Mountain and Root Sports Northwest as the Jazz's regional television partners. The deal also marks the team's return to KJZZ, which previously held over-the-air telecast rights to Jazz games from 1993 to 2009. Team owner Ryan Smith's holding company, Smith Entertainment Group, also starts a new in-house production division, SEG Media, to produce the telecasts, which will also be carried on a new subscription streaming service scheduled to launch in October. Game announcers Craig Bolerjack, Thurl Bailey and Holly Rowe will remain on the broadcasts as they are directly employed by the Jazz.",223
2023_tv_175,"Dish Network is hit by a cyberattack that resulted in data being extracted from its IT networks; and the company's internal servers, customer support systems and company websites being knocked offline, with service disruptions affecting its co-owned vMVPD service Sling TV and wireless provider Boost Mobile. Dish and Sling subscribers also experienced difficulties accessing streaming apps (such as its Dish Anywhere service, OTT services purchased through Dish and TV Everywhere apps of various networks carried by the Dish satellite service and Sling) using their provider logins. Some employees continued to be paid during the outage despite it preventing them from performing their jobs. Although Dish restored ""many of the systems,"" including its websites, customer service operations and self-service applications within weeks of the attack, service disruptions and technical issues lingered into March as customers continued to report call center backlogs (some lasting up to 14 hours) and problems processing payments. Several Dish investors filed a class action lawsuit over the breach on March 30, accusing the company of negligence in failing to properly secure customer data.",221
2023_tv_153,"CBS News Detroit, a localized extension of CBS News's streaming service, formally launches in Detroit. CBS-owned WWJ-TV simulcasts the 6 and 11 p.m. newscasts, with additional newscasts debuting on both platforms in the coming weeks. This marks a return to local news on WWJ-TV since a partially-outsourced morning drive newscast was cancelled in 2012. (An 11 p.m. newscast, produced by co-owned WKBD-TV, ran from 2001 to 2002, when the entire news service was shuttered.) The launch of CBS News Detroit was delayed throughout much of 2022 due to pandemic and supply chain-related delays. WKBD-TV's 10 p.m. news, originally produced remotely from KTVT/KTXA in Dallas–Fort Worth, had already been relaunched as Detroit Now News, a hybrid national-local newscast featuring CBS News Detroit reports and content.",220
2023_tv_71,"The 76th Tony Awards air on CBS and Paramount+ from New York's United Palace, with Ariana DeBose as host. Notable winners included Kimberly Akimbo (Best Musical), Leopoldstadt (Best Play), and the first two non-binary performers to win acting awards (J. Harrison Ghee for Some Like It Hot and Alex Newell for Shucked). The ceremony and telecast were initially postponed on May 12 after organizers for the Tonys were denied a waiver request from the Writers Guild of America to use pre-written material during the Guild's strike against the Alliance of Motion Picture and Television Producers (both CBS and Paramount+ are AMPTP members). But by May 16, organizers agree to ceremony alterations—including refraining from using a script and placing an emphasis on live performances from Tony-nominated shows—thus allowing the event to proceed without a WGA waiver or picket line.",219
2023_tv_6,"As part of a multi-year agreement that also extends their existing carriage contracts for the group's 40 CBS stations and NewsNation, Nexstar Media Group and YouTube TV announce that the vMVPD service will add 59 Nexstar-operated stations serving 56 markets (consisting of 29 CW, 26 MyNetworkTV and four independent stations, including WPIX/New York City, KTLA/Los Angeles, WGN-TV/Chicago, KRON/San Francisco, WPHL/Philadelphia, and WDVM–WDCW/Washington, D.C.) to its lineup. The deal fills a major affiliate coverage gap for The CW on YouTube TV, as Nexstar was the largest group without a carriage deal for its CW stations (CBS and Sinclair Broadcast Group were the largest CW station operators to offer their affiliates on the service); it also expands local MyNetworkTV carriage on YTTV (beyond affiliates operated by Fox and Sinclair) for the first time.",213
2023_tv_169,"NewsNation correspondent Evan Lambert is arrested on disorderly conduct and criminal trespassing complaints for allegedly disrupting a news conference by Ohio Governor Mike DeWine on the February 3 derailment of a Norfolk Southern freight train containing hazardous chemicals that prompted residential evacuations in East Palestine. The D.C.-based correspondent was conducting a live report for the Nexstar-owned cable news channel's Rush Hour program when police officers inside the gym of the village's elementary school, where the news conference was held, told him to conclude the report while DeWine was speaking, and subsequently pushed Lambert to the ground and handcuffed him after acceding to their request. DeWine later condemned the officers' actions, clarifying he did not authorize Lambert's arrest. Lambert was released from the Columbiana County Jail later that evening on an $850 bond; he is scheduled to be arraigned on February 23.",209
2023_tv_34,"CNN parts ways with anchor Don Lemon, following a series of controversies over his on-air remarks and treatment of network colleagues, and an April 5 Variety report that outlined allegations of mistreatment toward several former female colleagues—including Nancy Grace, Kyra Phillips and Soledad O'Brien—and instances of ""diva-like behavior"" during his 17-year career at CNN. Lemon was earlier criticized for remarks about Nikki Haley, which were widely perceived as sexist, on the February 16 edition of CNN This Morning, suggesting the former United Nations ambassador and South Carolina governor (who turned 51 the month prior) was not a viable presidential candidate because she ""isn't in her prime""—referencing a comment Haley made during her declaratory speech the day prior that implied President Joe Biden and her rival for the 2024 Republican nomination, Donald Trump (then 80 and 76, respectively), were too old to hold office.",207
2023_tv_43,"Sinclair Broadcast Group announces it will cancel full-length newscasts and lay off all news department staff at CBS affiliate KTVL/Medford, Oregon, and CBS/Fox affiliate KPTH/Sioux City, and discontinue partially outsourced newscasts on NBC affiliate WNWO/Toledo (co-produced by CBS sister WSBT/South Bend since March 2017), CBS affiliate WGFL/Gainesville, Florida (co-produced by CBS sister WPEC/West Palm Beach since October 2019), and Fox affiliate KPTM/Omaha (co-produced by Fox sister KMPH/Fresno since 2013), effective May 12. The National Desk will replace newscasts on all five stations starting May 15. The cuts, as well as reductions in news production at five other stations (see March 24 entry), are believed to be related to the recent bankruptcy of Sinclair-controlled Bally Sports parent Diamond Sports Group.",207
2023_tv_95,"Days of Our Lives producer Corday Productions announces the departure of the Peacock soap opera's longtime co-executive producer/director Albert Alarr, with senior producer Janet Spellman-Drucker replacing him as co-EP and the company announcing it will be ""implementing additional HR protocols."" Alarr's departure comes in the aftermath of an investigation conducted by Days distributor Sony Pictures Television (outlined in a July 25 Deadline Hollywood report) that revealed Alarr had allegedly fostered a toxic work environment on the program, and had been verbally and physically abusive toward staffers (namely female staffers, who allege incidents of inappropriate comments and physical contact by Alarr). Though Corday Productions reportedly gave a written warning to Alarr (who denied the allegations against him) and ordered him to undergo training, his continued presence on Days led to on-set tensions among those aware of the investigation, with cast members petitioning for Alarr's ouster.",206
2023_tv_150,"The 28th Critics' Choice Awards airs on The CW from the Fairmont Century Plaza Hotel in Century City, with Chelsea Handler as host. Among television nominees, Better Call Saul had the most wins with three awards (""Best Drama Series"", ""Best Actor in a Drama Series"" for Bob Odenkirk, and ""Critics' Choice Television Award for Best Supporting Actor in a Drama Series"" for Giancarlo Esposito), while Abbott Elementary won two awards (""Best Comedy Series"", and ""Best Supporting Actress in a Comedy Series"" for Sheryl Lee Ralph). Everything Everywhere All at Once won five awards (including ""Best Picture"", and ""Best Supporting Actor"" for Ke Huy Quan) to become the ceremony's top winner overall and among film nominees. Special honors went to Jeff Bridges (Lifetime Achievement Award) and Janelle Monáe (#SeeHer Award).",202
2023_tv_159,"ABC News officially cuts ties with Amy Robach and T. J. Holmes. The two hosts of GMA3: What You Need to Know, who had respectively been with the network since 2012 and 2014, had been off the air since December 5, 2022, after a Daily Mail exposé revealed they had been in a romantic relationship (and had left their respective spouses), an affair ABC described then as ""an internal and external disruption"" but not a violation of company policy (although an internal investigation would commence). On May 11, the news division named Good Morning America weekend co-anchor Eva Pilgrim and correspondent Demarco Morgan to co-host GMA3, while transportation correspondent Gio Benitez (who was among those acting as substitute hosts on the program following Holmes and Robach's departure) will take over Pilgrim's GMA weekend anchor slot.",200
2023_tv_62,"Fifteen months to the date after it was first announced, Tegna announces it has terminated its deal to be acquired by hedge fund Standard General. The $8.6-billion deal, which was originally slated to be completed in the second half of 2022, had faced regulatory hurdles (the FCC's Media Bureau had designated the deal for a hearing by an administrative law judge in February), scrutiny from lawmakers and labor unions concerned over job losses (in part because the deal did not address conflicts with stations operated by Cox Media Group—whose majority owner, Apollo Global Management, helped finance the deal—in four markets), and a deadline for Standard General to arrange financing for the deal on this date. As a result of the deal's termination, Tegna (which owns and operates 68 stations in 54 markets) announces a share repurchase plan and the collection of a $136 million termination fee from Standard General.",199
2023_tv_68,"The Forum of Fargo-Moorhead reports that Red River Broadcasting has exercised an option to terminate the sale of Fox affiliates KQDS/Duluth–Superior and KVRR/Fargo–Moorhead to Forum Communications. The $24-million deal, first announced in November 2021, was dependent on the FCC approving a waiver of ownership rules prohibiting the combination of two full-power ""Big Four"" outlets in the same market, in order to allow a duopoly between KVRR and Forum-owned ABC affiliate WDAY. The FCC, which has only once approved such a ""Big Four"" duopoly (in 2019), had not yet considered the Fargo waiver. (Forum, which also owns The Forum and News Tribune newspapers in the respective cities, would have had no such issues in Duluth as it has no existing television properties in that market.)",197
2023_tv_19,"The UConn Huskies top the San Diego State Aztecs in the title game of the 2023 NCAA Division I men's basketball tournament. The CBS broadcast attracted 14.693 million viewers, a record low for the championship event. The broadcast is also Jim Nantz's last college basketball assignment for CBS; though he remains the network's lead play-by-play announcer for NFL and PGA golf events, Nantz steps back from college basketball after calling 32 consecutive tournaments for CBS and Turner Sports. Ian Eagle will succeed Nantz as CBS' lead college basketball announcer in the 2023–24 season. This also marks the first Men's Final Four to be overseen by Charlie Baker, who was appointed president of the NCAA in December 2022 to succeed Mark Emmert (who announced his retirement in April of that year).",191
