id,sentences
43,"As he reaches the dirt section, he he does three jumps. On his final jump, he extends his legs to try and jump as far as possible."
44,We see a man preparing and throwing shotput.
45,We see a man preparing and throwing shotput. We see a man running to measure the distance. We see a man standing and measure.
46,The people are walking in the street with marching band. The men in green vest are walking on both sides of the parade.
47,Two people are seen sitting before a wave pool and one leads another out onto the water on a board.
48,A cowboy rides a horse out of a corral and enters into a fenced off area. The man rides his horse out of the fenced are and throws a rope around a cattle.
49,A small group of people are seen sitting around a casino table speaking to one another and playing a game of poker.
50,Many people watch on the sides while the dealer deals out cards and the people place their chips in the middle.
51,A man is seen standing in a large field and leads into him moving his arms and legs around the area.
52,A man is seen speaking to the camera while showing shots of people playing water polo.
53,More clips are shown of people hitting the ball as well as the host speaking to another man.
54,A man jumps off of the brown horse and he lassos the bull to the ground in the beginning.
55,Half of the group kneels on the floor and the other standing group exits to the sides.
56,Joe morin from titan alloy is talking about welding aluminum. He is doing a tutorial on how to fix aluminum.
57,"He shows a new product called nova, which is an electrode for cleaning dirty aluminum. He shows two aluminum plates that are joined together for demonstration purposes."
58,He shows two aluminum plates that are joined together for demonstration purposes. He takes the nova rod and shows how he can weld the two pieces together.
59,He begins welding the two plates of aluminum. Then he hits the plates with a hammer and scrubs off the dust.
60,"A man and a woman scrape frost off of a parked car's windows, windshield and wiper blades while a second woman talks to them from the side of the car in the snow."
61,A man in a long black wool coat scrapes ice off of a blue car's windshield while a woman in a black fur collared coat talks to him from the side of the car.
62,A second woman begins wiping snow off of the car's windshield wipers while talking to the woman in the fur hooded coat.
63,A close up of a landscape is shown followed by a woman climbing up a rock on it's side.
64,A camera pans up to a man sitting and smoking a cigarette. Another man walks over with a cart and begins digging through trash.
65,A man is seen playing the drums with another man beside him with several lights flash around his face.
66,A boat pulls a person out of the water. They stand up and start water skiing behind the boat.
67,A camera pans around a set of stairs and leads into people working out in a class.
68,A camera pans around a set of stairs and leads into people working out in a class. Several shots are shown of people working out together while a man speaks to the camera.
69,"A special effect intro that looks like a chalk board on wood appears and the words on it say ski school on the upper left, and the middle words say ""ski tips: foot rotation"" along with a website at the bottom and a blue circle icon on the upper right."
70,The man is now back at his starting point where he was originally standing and he's talking again.
71,People practice ballet in a studio alone and in couples.
72,"People practice ballet in a studio alone and in couples. Then, a boy and a girl dance ballet, then a man enter and dance with the girl."
73,"A woman blowing kisses at the camera, then inserting her contact lenses."
74,"A woman blowing kisses at the camera, then inserting her contact lenses. She begins to put eye shadow on her eyelids and rubbing it in."
75,She begins to put eye shadow on her eyelids and rubbing it in. She adds eyelash extensions on her eyes.
76,A person is seen standing on a tennis court bouncing a ball.
77,A person is seen standing on a tennis court bouncing a ball. Another man is seen standing ready on the other side in front of a large audience.
78,The man in blue helmet is paddling through the water current. Two rafts are stuck in running water.
79,A video of vodka being poured into a martini glass is shown. A woman stands behind a bar with bottles and ingredients.
80,A woman talks to the camera.
81,A woman talks to the camera. The woman irons a piece of clothing on an ironing board.
82,Two men are arm wrestling on a table. The door opens and another man comes in and arm wrestles. They start fighting in the room.
83,A dog is getting a bath outside.
84,"A boy is skating in a parking lot. He does several moves, dancing and talking."
85,Three women are standing in a park in a field doing yoga.
86,Three women are standing in a park in a field doing yoga. Man is running in the park behind the women.
87,A group of boys are playing a game of foosball with girls.
88,A group of boys are playing a game of foosball with girls. The two groups stand on either side of the machine.
89,A man is holding onto a bar as he is standing on a water ski.
90,A man is holding onto a bar as he is standing on a water ski. He is being pulled through the water by a motor boat.
91,A young man with a backpack is talking and walking through a station. There is a man sitting on the ground shining a shoe.
92,There is a man sitting on the ground shining a shoe. He applies ointment to the shoe and resumes buffing the shoe.
93,The customer moves his right foot down and places his left foot on the stand and the man starts polishing the shoe. Two men on either side of the shoe shiner is observing the crowd.
94,The train is moving along the station as a crowd walks by. The shiner returns to buffing the right shoe.
95,The train is moving along the station as a crowd walks by. The shiner returns to buffing the right shoe. The shiner wipes the shoe with a cloth.
96,The man drops his block and resumes buffing. The man takes the cloth to shine the left shoe.
97,The man prepares his arm as the other grabs his hand and he pretends to kick his head.
98,A woman is seen kneeling on a mat in a back yard and leads into her bending backwards using her hands.
99,A cheer-leading team begins to hold up posters as their mascot runs behind them.
100,A man is completing a rubiks cube.
101,A man is completing a rubiks cube. A timer is sitting on the table next to him.
102,A person is seen riding along the water in a kayak.
103,"A client tap with the finger inside a square. Then, the person stacks all the cards and puts the tokens inside the squares."
104,"After, the client shows with the hand, then the person make gestures with the hand showing the table."
105,A man and two women are doing an aerobic dance inside a building.
106,"A man and two women are doing an aerobic dance inside a building. They perform several moves, speeding up with time."
107,An older man is seen speaking to the camera while holding a tennis ball and racket in his hand.
108,"He moves the racket and ball up to demonstrate how to properly serve the ball, followed by him actually serving the ball in slow motion."
109,People are playing lacrosse on a field.
110,People are playing lacrosse on a field. They score a point into the net.
111,A man has a hookah in his mouth and he is inhaling smoke for a while.
112,A man has a hookah in his mouth and he is inhaling smoke for a while. He takes the hookah out of his mouth and exhales letting out a bunch of smoke.
113,There's a home improvement specialist demonstrating how to remove wallpaper from walls.
114,He starts of by preparing the space by moving furniture away from the walls and covering the furniture with plastic sheets for protection. He also removes the window treatments from windows.
115,He also removes the window treatments from windows. He shows how to take precautionary measures with respect to electrical wiring and switches and circuits.
116,Then he shows how to use fans to ventilate the room. He takes a scour and begins to scour the wall paper.
117,He takes a scour and begins to scour the wall paper. He uses a paint roller to soak the wall paper for easy removal.
118,He uses a paint roller to soak the wall paper for easy removal. He then demonstrates how steam can be used too to loosen the wall paper.
119,He then demonstrates how steam can be used too to loosen the wall paper. Then he begins to slowly peel off the paper from the wall.
120,Then he begins to slowly peel off the paper from the wall. He re-wets the surface and uses a flat tool to remove any stubborn wall paper.
121,He re-wets the surface and uses a flat tool to remove any stubborn wall paper. He finally uses a sponge and soap water to clean the wall to remove any residual wall paper.
122,Young children are seen jumping on a mat back and fourth while two older women watch them on the side.
123,We see an opening title screen. We then see a girl run and fall on a slip and slide.
124,Descriptive text is shown against a red movie curtain backdrop.
125,Descriptive text is shown against a red movie curtain backdrop. A coach shows different leg stances to a student for playing badminton.
126,A coach shows different leg stances to a student for playing badminton. The coach returns serves from the student using the racket during a practice drill.
127,A woman prepares for a shot put throw swinging her arms on a sporting field.
128,Several performers walk out of a box and it ends up being one male and one female.
129,The men play against one another while taking breaks to get a drink and speak with team mates.
130,A pair of handlebars are detached from the bike and is laying down flat on a table.
131,A shot of a board is shown followed by various groomers grooming dogs on tables.
132,There is a man on a horse waiting for the time to get going to start.
133,Once the gates open a cow starts running and the man on the horse chases after it with a tassel.
134,He swings the tassel in the air a few times and throws it catching the cow and then tying him down.
135,"A close up is shown of an image on a cell phone. A male gymnast runs, flipping back and forth across a mat."
136,A group sits on horses as the stand and take a rest.
138,A man riding a horse and swinging a rope around is seen chasing after a calf and eventually grabbing the animal with his rope.
139,A man riding a horse and swinging a rope around is seen chasing after a calf and eventually grabbing the animal with his rope. He holds the calf down and another man comes out to help the man tie up the calf.
140,Two girls are seen moving quickly around the room while switching places and looking into a camera.
141,We see a man in a barber shop and see images of the shop. The barber speaks cut with scenes of a barber shop.
142,The barber speaks cut with scenes of a barber shop. We see a union jack flag on the arm of a chair.
143,A man dressed in a camouflaged suit is standing in a large grassy field with other people and he's pulling on a string we can barely see. There are a lot of other people moving around on the field doing their own thing.
144,"Two men walked over the football table, one man counted the dice on the side."
145,"Two men walked over the football table, one man counted the dice on the side. The players twist and push and pull the poles as they play on the table."
146,There are several people getting ready to ski.
147,There are people sitting and waiting on top of a mountain waiting to start skiing.
148,The skier going fast downhill is demonstrating how to turn and manage speed while going downhill. There are some people walking toward the ski mountain on a escalator.
149,A person pours different colors of paint on a surface.
150,People sails in a rocky river on inflatable individual boats.
151,People sails in a rocky river on inflatable individual boats. The boats pass with difficulty between the rocks.
152,The camera pans in on a volleyball player while she plays a game with others.
153,A girl is standing outside in a field talking and hula hooping. Another girl then tries to do the same thing but she isn't successful.
154,A woman in a yellow shirt is holding a bottle in her hand.
155,A woman in a yellow shirt is holding a bottle in her hand. She opens the bottle and pours it into a bucket on the ground.
156,She puts a mop rag into the bucket and puts it on her mop. She then lifts the bucket out of the room.
157,"A girl is standing in the back of a room that has paper air ballon, and she begins to dance moving her legs back and forth and slightly moving her arms."
158,The girl then picks it up and begins to move more of her arms along with her legs and dances in a small area in the room while facing the camera.
159,Two men are seen holding hands with a ref holding them together and leads into an arm wrestling match.
160,The video by tmz is showing several overweight men as part of the sumo destruction event. It shows a picture of singer george michael too.
161,It shows a picture of singer george michael too. There's a panel of people sitting in a studio talking about the event.
162,A flag waves on a pole in a field.
163,The mascot runs and catches a ball in the field.
164,A person is putting objects in front of a tire to move the car. A person drives the car over the object to move it.
165,A woman practices floor gymnastics while others engage in various activities in the background. A second woman practices floor gymnastics.
166,A second woman practices floor gymnastics. The two women are shown performing the same action in turn.
167,"The first woman is shown practicing more floor gymnastics, with occasional slow motion replays of her action."
168,The second woman is shown performing some sort of pose. The first woman is shown performing gymnastics once again.
169,The second woman is shown stretching her leg in the air. The first woman is shown performing gymnastics once more.
170,A woman pours ice into a glass. She puts shots of alcohol into the glass. She shakes it and pours it into another glass.
171,A colorful hexagonal shaped kite is flying high in the air.
172,They're both wearing black decor and they're turning the batons in many different ways and music is playing.
173,A man pours a liquid onto a table.
174,"With the use of a paintbrush, he covers the table with the liquid. He removes varnish from the top of the table."
175,"He removes varnish from the top of the table. Afterwards, he does a light sanding of the table."
176,"He removes varnish from the top of the table. Afterwards, he does a light sanding of the table. With a tack rug, he removes the dust."
177,"Afterwards, he does a light sanding of the table. With a tack rug, he removes the dust. Wearing gloves, he applies a stain to the table."
178,A swimmer is shown putting on his goggles and spreading his hands out before he dives into a pool. A side view of the man is shown as he does the side stroke underneath the water.
179,Men are standing in a large green field playing lacrosse. People is around the field watching the game.
180,A technician walks along a roof and sprays it using a wand attached to a hose.
181,The man turns off his hose then walks along the peak of the roof. The man sprays around the gutters with the wand.
182,A shirtless man is standing on porch while instructing how to build a redneck fire.
183,A nighttime view of a city is shown through a window. A man in a chef's coat is standing in a kitchen talking to the camera.
184,A man in a chef's coat is standing in a kitchen talking to the camera. A pancake is shown with syrup being poured on it.
185,A man in a chef's coat is standing in a kitchen talking to the camera. A pancake is shown with syrup being poured on it. Ingredients are placed in a bowl.
186,Ingredients are placed in a bowl. The man cracks an egg and whisks the ingredients in a bowl.
187,The man cracks an egg and whisks the ingredients in a bowl. A ladle is shown next to the bowl.
188,A ladle is shown next to the bowl. The man ladles the pancake batter onto the griddle. The man flips the pancakes.
189,The man flips the pancakes. The pancake is placed on a plate and syrup is poured on it.
190,The batter is fighing with the man and other people trye to calm him down.
191,A woman is holding a cat onto a table. She starts clipping the cats nails with a tool.
192,Girls are talking to the camera. They are making hand motions as they talk.
193,"They are playing rock, paper scissors. A girl is laying on the ged as another girl puts her butt in her face."
194,A tall garage building is shown in the dark and then several teen age boys appear skateboarding in the inside of it.
195,"As they come around the corner, they hold on to each others shirts and come down the slanted road in a single file line and a boy is shown holding a camera with a selfie stick recording the action."
196,"After, a black male appears talking in the car and the boys are then shown walking up a set of stairs."
197,A man wearing a black shirt is demonstrating how to polish wood and other surfaces using liquid polish and a white soft cloth.
198,He pours some of the polish from the bottle onto the cloth and uses it to gently scrub ad rub it over the furniture and tabletop.
199,A small group of men are seen riding around on various horses holding sticks in their hand and preparing for a game.
200,A gymnast is shown swinging back and fourth on uneven bars.
201,A band is seen playing several instruments on a stage while people dance around them.
202,A camera zooms in on a person playing guitar and leads into a man speaking.
203,We see a man and a woman playing competitive rock paper scissors cut with scenes of the crowd.
204,Women are standing in a wooden court in a roofed gym playing voleyball while public is in teraces watching the game.
205,A person is assembling a vacuum on the carpet.
206,A person is assembling a vacuum on the carpet. They plug the vacuum in.
207,A person is assembling a vacuum on the carpet. They plug the vacuum in. They turn the vacuum on and begin vacuuming the floor.
208,They turn the vacuum on and begin vacuuming the floor. They take the attachment hose off and vacuum the base boards and stairs.
209,They take the attachment hose off and vacuum the base boards and stairs. They take the filter out and empty it.
210,We see a man making shots in hockey with title screens in between. A man shoots a shot at hockey and makes it and we see a slow motion recap.
211,A man is talking as he looks at a bicycle.
212,A person's car is shown from several angles with a person inside and leads into the car driving with people inside.
213,The couple spin multiple times while the audience cheers them on loudly. They continue performing their dance routine and several people on look using phones and cameras.
214,We see a white opening screen. We see a man dunk a basketball wearing jump stilts.
215,This man is shown standing on the roof saying a few words.
216,A white male is dressed outside in a scotland uniform standing outside in the middle of a cemetery.
217,"A white male is dressed outside in a scotland uniform standing outside in the middle of a cemetery. As he is standing, he plays the bag pipes with the american flag hanging down from them."
218,A man spreads a white sheet onto a wall. He then presses a sheet with a photo printed onto it onto the white background.
219,Mj's mommy is playing around with her hair smoothing it out.
220,Mj's mommy is playing around with her hair smoothing it out. She goes to the bathroom with clips in her hair and gets out treatments and shampoos.
221,"She begins to apply the hair things to her hair and combing it out, she starts to part her hair and put in curlers."
222,A boy makes repairs to a disassembled bicycle with the use of a solder in a backyard near the back steps of a house.
223,"A boy enters the scene and pulls on a pair of gloves while wearing a sports protective mask, turns on a blue machine on the back steps and picks up a solder."
224,"A boy enters the scene and pulls on a pair of gloves while wearing a sports protective mask, turns on a blue machine on the back steps and picks up a solder. The boy then begins to solder a disassembled bicycle on the ground in a backyard."
225,A man is seen standing in front of a mirror holding a razor.
226,A man is seen standing in front of a mirror holding a razor. He then begins shaving his face while still looking in the mirror.
227,Business details are written in white text on a black background.
228,Business details are written in white text on a black background. Men wearing jackets pressure wash a white car in a parking lot.
229,Two men wash a black suv with a pressure washing hose. Men wash a white car using hand towels.
230,A man stands next to a young girl dressed in a gymnastic outfit in a gym and talks to the camera.
231,A woman is seen spinning two hoops around her hands while looking back to the camera and speaking.
232,Two girls are standing up doing karate. People are sitting down watching them.
233,A man is kneeling down on a blue mat.
234,Man is welding a machine in a dark room.
235,Man is welding a machine in a dark room. Man is welding a metal pot and smoke is spreading out of the pot.
236,Gift wrapping accessories are shown. A woman lays out tissue paper and places a stuffed toy in the center.
237,A woman lays out tissue paper and places a stuffed toy in the center. The woman wraps the toy in the tissue paper and tapes it shut.
238,The woman wraps the toy in the tissue paper and tapes it shut. The woman lays out cellophane and places the wrapped toy on it.
239,The woman lays out cellophane and places the wrapped toy on it. The woman cuts the cellophane and then proceeds to roll up the tissue paper covered toy.
240,The woman cuts the cellophane and then proceeds to roll up the tissue paper covered toy. The woman twists the ends of the cellophane and tapes the package shut.
241,The woman twists the ends of the cellophane and tapes the package shut. Ribbon is placed around the ends of the package.
242,"A view of a wide ocean taken from a boat appears and various men are shown doing different things on the boat on both the inside and the outside and include steering the wheel up deck, or sitting at computers monitoring things."
243,A man sitting on the deck of the boat is talking to the camera while a man behind him is standing and the man beside that standing man is controlling the steering wheel of the boat.
244,A woman pole vaults over a tall bar.
245,A woman is talking about how to make a salad.
246,Another man holding a baby holds up the kite's spool. A third man works on a similar kite while the second man holds a spool.
247,"The woman is talking again and the next cookie she is shown making is called ""cookie snowballs"" and it shows all the ingredients needed, a list on how long to cook it for, and she's demonstrating step by step until it's all baked and on a plate next to the other cookies."
248,The woman then jumps over the beam and throws her arms in the air to celebrate and run around the field.
249,A man is seen looking off into the distance and leads into him speaking to the camera. The man continues to speak to the camera and then walks behind a set of drums.
250,A group of athletes row on canoes during a race in between buoys on a waterway.
251,A gymnast is standing at a pose waiting to begin her performance.
252,A man and woman news reporter are sitting in front of a tv screen as they talk. They then show clips from an outdoor volleyball game.
253,They then show clips from an outdoor volleyball game. The team mates hit the ball back and forth over the net.
254,An intro leads into several shots of water steaming and a young woman swimming back and fourth in the water.
255,We see a bmx biker as he prepares to to ride. We see the gate open and see the field. The rider takes off down the course.
256,We see the gate open and see the field. The rider takes off down the course. We see riders perform jumps and people riding bikes.
257,Two men play squash in a room. A player goes to find the ball and throw it to his partner.
258,This girl is doing a video of how to make your white shoes become sparkly clean.
259,"You will need a toothbrush, baby powder, a glass cup or bowl, bleach, and q-tips, blowdryer, and water."
260,First she adds water pours a little bit of baby powder into the small bowl and she mixes it up using the toothbrush.
261,She puts the baby powder soaked toothbrush onto the shoe and starts to rub it there. Then she grabs the blowdryer and blowdrys the shoe and scrubs them again.
262,Then she pours bleach into the small bowl that has baby powder in it and she puts the toothbrush in the bowl and rubs it on the shoe again.
263,Two people are seen playing a set of bongo drums while singing and looking to the camera.
264,A young man solves a cube puzzle while a man stand on front him.
265,"Then, a man writes on a paper and shows the young man. The young man solves again the puzzle is less time, and the man takes note."
266,"The young man solves again the puzzle is less time, and the man takes note. After the young man solves again two times the puzzle in less time."
267,"The end of the road appears with the word ""paintball fails"" above it and pictures of paintball below it. The words ""friendly fire"" appear."
268,"The words ""friendly fire"" appear. A group of people play paintball on a grassy field with inflatable obstacles. The words ""stupid hopper"" appear."
269,"A group of people play paintball on a grassy field with inflatable obstacles. The words ""stupid hopper"" appear. People once again play paintball on the field. The words ""1/3 lauf"" appear."
270,"People once again play paintball on the field. The words ""1/3 lauf"" appear. People again play paintball on the field. The word ""fehlstart"" appears on screen."
271,The video begins with an introduction to recipes in motion about quick spaghetti sauce. The video transitions into showing a ladle pouring the sauce onto noodles.
272,"Someone begins to cut various vegetable with a knife, this includes a green vegetable and onions."
273,"Someone begins to cut various vegetable with a knife, this includes a green vegetable and onions. Next an empty metallic pan is shown as someone pours oil and the vegetables into it."
274,Next an empty metallic pan is shown as someone pours oil and the vegetables into it. They then begin stirring the vegetables with the oil.
275,"They then begin stirring the vegetables with the oil. After this what other ingredients are added include tomatoes, spices and some type of liquid."
276,The blended ingredients are put back onto the man and a red substance from a can is poured onto the pan and mixed in.
277,A woman is seen speaking to the camera while grabbing various bags and laying them out.
278,A woman is seen speaking to the camera while grabbing various bags and laying them out. She puts and object into a bag while pointing to a box next to her.
279,A close up of a fireplace is seen with the camera moving around the front.
280,A man in the kitchen appears and he's putting seasonings into a pan and he starts swishing the pan around.
281,"An introduction of 6 different small videos of foods appear and there's text below that say's ""steve's cooking""."
282,A large piece of raw meat appears on a white plate and the word reuben flashes a few times on it as it's shown in various different angles.
283,"Then there's a close up shot of a large knife that is crushing a bunch of garlic cloves that also get thrown into the pot and the seasonings and meat are gently stirred then quickly shows that the water is now boiling and text shows up that say's ""about one hour per pound"", and a lid gets put onto the pot."
284,A pair of tongs pull out a piece of meat from the pot and is placed onto a white square plate where it gets put onto a cutting board and gets thinly sliced with a large serrated knife.
285,"An empty large clear bowl is shown and mayonnaise, ketchup, relish, worcesterchire sauce, and hot sauce get spooned into the bowl."
286,"A purple onion, celery and parsley then get chopped up individually and each individually gets thrown into the bowl where it begins to get mixed by a whisk and then seasoned with salt and pepper and mixed some more."
287,A finger dips into the bowl to get a sample out and mixing continues for a bit longer.
288,A small brush with melted butter begins to butter bread on both sides which gets put onto a flat grill and flipped until both sides are grilled.
289,Some white shredded food gets thrown onto the grill and is stirred around by a black spatula.
290,"Thin slices of meat appear next to the white shredded food and they get topped with 3 slices of swiss cheese and covered with a white bowl until the cheese melts, then the white shredded food is scooped up and put onto the meat and cheese."
291,"The mixed sauce from the clear bowl is then shown being spread onto the bread with a spoon and the meat, cheese and shredded white food is put onto the bread, topped with the other bread, and then sliced in half diagonally."
292,People are in stands watching two teams in a pool play pool soccer.
293,"There are two players wearing a red and white shirt and the other wearing black and white shirt, playing racket ball in an indoor court with a few spectators."
294,The player in red continues to swing his racket in a front hand as he never fails to miss a single shot.
295,"The player in black misses one shot, but he immediately grabs the ball and they continue to play again."
296,"The player in black misses one shot, but he immediately grabs the ball and they continue to play again. Both the players continue on a great rally without missing a shot."
297,Both the players continue on a great rally without missing a shot. The player in red runs swiftly across the court to hit the ball back.
298,Then they play five rounds continuously using back hand swings until the player in black misses a shot. Then they begin their final round where the player in black and white ends the final shot.
299,A boy is bent over in his bedroom.
300,A boy is bent over in his bedroom. He is trying to put on a shoe.
301,"A boy is bent over in his bedroom. He is trying to put on a shoe. He sits down, playing with a broken lace."
302,A woman is drawing a hopscotch board on the ground in chalk.
303,A woman is drawing a hopscotch board on the ground in chalk. She stands up and walks to the front of the hopscotch board.
304,We see a college volleyball game being played by women. A group of ladies passes.
305,A group of ladies passes. A lady falls and slides across the ground. Two ladies high five each other.
306,A man runs past an approaching storm.
307,"Surfers are seen in the water, and people are walking with their surfboards. A group of women gather, and a praying mantis is seen."
308,A man and boy are outside on a driveway.
309,"A woman is standing outside, talking to the camera."
310,"A woman is standing outside, talking to the camera. She speaks extensively in her new york city location."
311,A man stands by a pole vault rig while a series of vaulters is shown attempting the vault with varying degrees of success.
312,A man stands by a pole vault rig while a series of vaulters is shown attempting the vault with varying degrees of success. A group of people wearing white uniforms walk by in the background.
313,"A horse is behind a yellow gate as a man sits on top holding a rope. The gate is opened, and a black calf comes running out into the field of dirt."
314,A man is putting on a pair of shoes. He grabs his skies and boards a lift.
315,An introduction comes onto the screen for a video about a jump rope competition.
316,An introduction comes onto the screen for a video about a jump rope competition. One person is shown doing a set of jump rope tricks.
317,One person is shown doing a set of jump rope tricks. Two people are then shown doing more jump rope tricks.
318,Next a variety of tricks are being shown done by several different people on the floor in the gymnasium.
319,We see an opening title screen. We see 5 men walking down the street sides by side.
320,We see an opening title screen. We see 5 men walking down the street sides by side. A man looks at the men.
321,We see 5 men walking down the street sides by side. A man looks at the men. A lady looks at the men.
322,The woman peeks out from behind a wall. The woman looks at a laptop screen with a man.
323,The young female is standing in the kitchen talking to the camera.
324,"The female put the pasta in boiling water, chopped the garlic and pour olive oil in the pan, she shredded the orange peel and put in the pan and added tomatoes and seafood."
325,The man is crawling on the ground. He fills his gun with orange balls. A person walks up to the bag near the man.
326,He fills his gun with orange balls. A person walks up to the bag near the man. The man reloads his gun with blue balls.
327,Screens begin to appear with white words on them describing events that are about to take place. A still image is then shown before a guy attempts to do several pole vault jumps.
328,Another black screen appears and a different person tries to do the jump but he too hits the pole.
329,"A man is talking while standing in front of a large river. A group of wild pigs are swimming behind the boat, trying to keep up."
330,A bartender is shown speaking to the camera while pouring ice into a glass and various liquids into a blender.
331,A bartender is shown speaking to the camera while pouring ice into a glass and various liquids into a blender. He pours more ice into the blender and mixes up the liquids all together.
332,A large kite is seen flying over a beach with people wandering around on the sides.
333,A large kite is seen flying over a beach with people wandering around on the sides. A man is seen flying the large kite while others watch him on the side.
334,A man in gray shirt is sitting on a chair.
335,A blue page with white writing explains that the video is about how to wrap a present.
336,"Scissors and different types of tape are shown, as well as a roll of wrapping paper. A woman is on the floor with a box."
337,A woman is on the floor with a box. She demonstrates how to cut and fold the paper around the present.
338,A woman is on the floor with a box. She demonstrates how to cut and fold the paper around the present. She tapes the present shut.
339,A small group of girls are seen walking out onto a lake holding tubes and leads into others riding along in tubes.
340,A ad for premier packaging appears.
341,A man is seen speaking to the camera and leads into several people holding and shooting bows.
342,A person is then shown walking out to the car with a utensil taking the snow off of the glass.
343,A man watch through a window two bears copulate while brushing a shoe.
344,A girl is seen smiling and waving to the camera followed by her holding up a contact lens and cleanser. She mixes the two together followed by putting the contact lens in her eyes.
345,A man wearing ski goggles adjusts the camera.
346,A man wearing ski goggles adjusts the camera. Several people are seen skiing down a steep slope.
347,A teenaged boy and his mother are sitting in bed dressed very relaxed and talking about how to wrap gifts.
348,"He gets side tracked on his phone and then gets back to business, they start cutting the wrapping paper."
349,A woman talks on front a hopscotch.
350,"A woman talks on front a hopscotch. Then, the woman hops n the hopscotch while talking."
351,Paint is shown being mixed on a styrofoam plate.
352,A man is lifting a large weight over his head several times.
353,The men are taking turns chopping a log in two. The chop over and over again.
354,A person is slicing a potato. They stack up the potato slices and start chopping them into tiny pieces.
355,He sets the pieces on a plate sitting in a sink. There is plates of food in the sink. He empties the plates into a pot.
356,There is plates of food in the sink. He empties the plates into a pot. He stirs everything in the pot together.
357,He stirs everything in the pot together. He then takes a scoop of that and puts it on a plate with vegetables on it.
358,A group of cheerleaders come from the side stage and begin smiling and waving to the crowd before settling into their formation.
359,"Doing the middle of the routine, half of the girls sit in the back behind the rest of the cheerleaders as they do a part of the routine."
360,People on a boat suit up in scuba gear then jump into the water.
361,Scuba divers swim through a cave area. A tropical beach is seen. Sea turtles graze and swim in the ocean.
362,A tropical beach is seen. Sea turtles graze and swim in the ocean. Various fish are seen swimming through the reef.
363,The camera zooms in to show people swimming in the pool and some playing volleyball in the pool. One person gets out of the pool and walks away.
364,A young child is seen adjusting the camera and showing off her face.
365,A young child is seen adjusting the camera and showing off her face. She grabs some makeup and begins putting it all over her face.
366,An introduction comes onto the screen for a video about how to ski.
367,"A group of boys are lined up, playing the drums. A couple of teams are inside the pool."
